[2023-08-29T02:56:26.864+0000] {logging_mixin.py:151} INFO - Changing /opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings permission to 509
[2023-08-29T02:56:26.865+0000] {logging_mixin.py:151} INFO - Failed to change /opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings permission to 509: [Errno 1] Operation not permitted: '/opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings'
[2023-08-29T02:56:26.891+0000] {logging_mixin.py:151} INFO - Changing /opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings permission to 509
[2023-08-29T02:56:26.892+0000] {logging_mixin.py:151} INFO - Failed to change /opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings permission to 509: [Errno 1] Operation not permitted: '/opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings'
[2023-08-29T02:56:26.921+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Autotrader_ETL_DAG.extract_listings manual__2023-08-29T02:45:05.823833+00:00 [queued]>
[2023-08-29T02:56:26.927+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Autotrader_ETL_DAG.extract_listings manual__2023-08-29T02:45:05.823833+00:00 [queued]>
[2023-08-29T02:56:26.927+0000] {taskinstance.py:1361} INFO - Starting attempt 2 of 2
[2023-08-29T02:56:26.940+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): extract_listings> on 2023-08-29 02:45:05.823833+00:00
[2023-08-29T02:56:26.946+0000] {standard_task_runner.py:57} INFO - Started process 364 to run task
[2023-08-29T02:56:26.948+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'Autotrader_ETL_DAG', 'extract_listings', 'manual__2023-08-29T02:45:05.823833+00:00', '--job-id', '28', '--raw', '--subdir', 'DAGS_FOLDER/autotrader_etl.py', '--cfg-path', '/tmp/tmpndoxdez5']
[2023-08-29T02:56:26.950+0000] {standard_task_runner.py:85} INFO - Job 28: Subtask extract_listings
[2023-08-29T02:56:43.176+0000] {logging_mixin.py:151} INFO - page 20 succesfully scraped
[2023-08-29T02:56:44.078+0000] {logging_mixin.py:151} INFO - page 21 succesfully scraped
[2023-08-29T02:56:44.651+0000] {logging_mixin.py:151} INFO - page 22 succesfully scraped
[2023-08-29T02:56:45.319+0000] {logging_mixin.py:151} INFO - page 23 succesfully scraped
[2023-08-29T02:56:46.000+0000] {logging_mixin.py:151} INFO - page 24 succesfully scraped
[2023-08-29T02:56:46.927+0000] {logging_mixin.py:151} INFO - page 25 succesfully scraped
[2023-08-29T02:56:47.531+0000] {logging_mixin.py:151} INFO - page 26 succesfully scraped
[2023-08-29T02:56:49.016+0000] {logging_mixin.py:151} INFO - page 27 succesfully scraped
[2023-08-29T02:56:49.679+0000] {logging_mixin.py:151} INFO - page 28 succesfully scraped
[2023-08-29T02:56:50.402+0000] {logging_mixin.py:151} INFO - page 29 succesfully scraped
[2023-08-29T02:56:51.209+0000] {logging_mixin.py:151} INFO - page 30 succesfully scraped
[2023-08-29T02:56:51.924+0000] {logging_mixin.py:151} INFO - page 31 succesfully scraped
[2023-08-29T02:56:52.569+0000] {logging_mixin.py:151} INFO - page 32 succesfully scraped
[2023-08-29T02:56:53.432+0000] {logging_mixin.py:151} INFO - page 33 succesfully scraped
[2023-08-29T02:56:54.457+0000] {logging_mixin.py:151} INFO - page 34 succesfully scraped
[2023-08-29T02:56:55.215+0000] {logging_mixin.py:151} INFO - page 35 succesfully scraped
[2023-08-29T02:56:55.912+0000] {logging_mixin.py:151} INFO - page 36 succesfully scraped
[2023-08-29T02:56:57.093+0000] {logging_mixin.py:151} INFO - page 37 succesfully scraped
[2023-08-29T02:56:57.998+0000] {logging_mixin.py:151} INFO - page 38 succesfully scraped
[2023-08-29T02:56:58.874+0000] {logging_mixin.py:151} INFO - page 39 succesfully scraped
[2023-08-29T02:57:00.037+0000] {logging_mixin.py:151} INFO - page 40 succesfully scraped
[2023-08-29T02:57:00.803+0000] {logging_mixin.py:151} INFO - page 41 succesfully scraped
[2023-08-29T02:57:01.602+0000] {logging_mixin.py:151} INFO - page 42 succesfully scraped
[2023-08-29T02:57:02.423+0000] {logging_mixin.py:151} INFO - page 43 succesfully scraped
[2023-08-29T02:57:03.129+0000] {logging_mixin.py:151} INFO - page 44 succesfully scraped
[2023-08-29T02:57:03.928+0000] {logging_mixin.py:151} INFO - page 45 succesfully scraped
[2023-08-29T02:57:04.771+0000] {logging_mixin.py:151} INFO - page 46 succesfully scraped
[2023-08-29T02:57:05.739+0000] {logging_mixin.py:151} INFO - page 47 succesfully scraped
[2023-08-29T02:57:06.702+0000] {logging_mixin.py:151} INFO - page 48 succesfully scraped
[2023-08-29T02:57:07.864+0000] {logging_mixin.py:151} INFO - page 49 succesfully scraped
[2023-08-29T02:57:08.558+0000] {logging_mixin.py:151} INFO - page 50 succesfully scraped
[2023-08-29T02:57:09.342+0000] {logging_mixin.py:151} INFO - page 51 succesfully scraped
[2023-08-29T02:57:10.202+0000] {logging_mixin.py:151} INFO - page 52 succesfully scraped
[2023-08-29T02:57:10.936+0000] {logging_mixin.py:151} INFO - page 53 succesfully scraped
[2023-08-29T02:57:11.595+0000] {logging_mixin.py:151} INFO - page 54 succesfully scraped
[2023-08-29T02:57:12.227+0000] {logging_mixin.py:151} INFO - page 55 succesfully scraped
[2023-08-29T02:57:12.982+0000] {logging_mixin.py:151} INFO - page 56 succesfully scraped
[2023-08-29T02:57:13.721+0000] {logging_mixin.py:151} INFO - page 57 succesfully scraped
[2023-08-29T02:57:14.238+0000] {logging_mixin.py:151} INFO - page 58 succesfully scraped
[2023-08-29T02:57:15.021+0000] {logging_mixin.py:151} INFO - page 59 succesfully scraped
[2023-08-29T02:57:15.848+0000] {logging_mixin.py:151} INFO - page 60 succesfully scraped
[2023-08-29T02:57:16.464+0000] {logging_mixin.py:151} INFO - page 61 succesfully scraped
[2023-08-29T02:57:17.059+0000] {logging_mixin.py:151} INFO - page 62 succesfully scraped
[2023-08-29T02:57:17.874+0000] {logging_mixin.py:151} INFO - page 63 succesfully scraped
[2023-08-29T02:57:18.579+0000] {logging_mixin.py:151} INFO - page 64 succesfully scraped
[2023-08-29T02:57:19.340+0000] {logging_mixin.py:151} INFO - page 65 succesfully scraped
[2023-08-29T02:57:19.922+0000] {logging_mixin.py:151} INFO - page 66 succesfully scraped
[2023-08-29T02:57:20.446+0000] {logging_mixin.py:151} INFO - page 67 succesfully scraped
[2023-08-29T02:57:21.198+0000] {logging_mixin.py:151} INFO - page 68 succesfully scraped
[2023-08-29T02:57:21.724+0000] {logging_mixin.py:151} INFO - page 69 succesfully scraped
[2023-08-29T02:57:22.520+0000] {logging_mixin.py:151} INFO - page 70 succesfully scraped
[2023-08-29T02:57:23.329+0000] {logging_mixin.py:151} INFO - page 71 succesfully scraped
[2023-08-29T02:57:23.920+0000] {logging_mixin.py:151} INFO - page 72 succesfully scraped
[2023-08-29T02:57:24.524+0000] {logging_mixin.py:151} INFO - page 73 succesfully scraped
[2023-08-29T02:57:25.698+0000] {logging_mixin.py:151} INFO - page 74 succesfully scraped
[2023-08-29T02:57:26.676+0000] {logging_mixin.py:151} INFO - page 75 succesfully scraped
[2023-08-29T02:57:27.455+0000] {logging_mixin.py:151} INFO - page 76 succesfully scraped
[2023-08-29T02:57:28.056+0000] {logging_mixin.py:151} INFO - page 77 succesfully scraped
[2023-08-29T02:57:28.846+0000] {logging_mixin.py:151} INFO - page 78 succesfully scraped
[2023-08-29T02:57:30.181+0000] {logging_mixin.py:151} INFO - page 79 succesfully scraped
[2023-08-29T02:57:31.003+0000] {logging_mixin.py:151} INFO - page 80 succesfully scraped
[2023-08-29T02:57:31.801+0000] {logging_mixin.py:151} INFO - page 81 succesfully scraped
[2023-08-29T02:57:32.850+0000] {logging_mixin.py:151} INFO - page 82 succesfully scraped
[2023-08-29T02:57:33.656+0000] {logging_mixin.py:151} INFO - page 83 succesfully scraped
[2023-08-29T02:57:34.260+0000] {logging_mixin.py:151} INFO - page 84 succesfully scraped
[2023-08-29T02:57:34.864+0000] {logging_mixin.py:151} INFO - page 85 succesfully scraped
[2023-08-29T02:57:35.633+0000] {logging_mixin.py:151} INFO - page 86 succesfully scraped
[2023-08-29T02:57:36.582+0000] {logging_mixin.py:151} INFO - page 87 succesfully scraped
[2023-08-29T02:57:37.411+0000] {logging_mixin.py:151} INFO - page 88 succesfully scraped
[2023-08-29T02:57:38.158+0000] {logging_mixin.py:151} INFO - page 89 succesfully scraped
[2023-08-29T02:57:39.042+0000] {logging_mixin.py:151} INFO - page 90 succesfully scraped
[2023-08-29T02:57:39.765+0000] {logging_mixin.py:151} INFO - page 91 succesfully scraped
[2023-08-29T02:57:40.394+0000] {logging_mixin.py:151} INFO - page 92 succesfully scraped
[2023-08-29T02:57:41.118+0000] {logging_mixin.py:151} INFO - page 93 succesfully scraped
[2023-08-29T02:57:42.665+0000] {logging_mixin.py:151} INFO - page 94 succesfully scraped
[2023-08-29T02:57:43.228+0000] {logging_mixin.py:151} INFO - page 95 succesfully scraped
[2023-08-29T02:57:43.789+0000] {logging_mixin.py:151} INFO - page 96 succesfully scraped
[2023-08-29T02:57:45.035+0000] {logging_mixin.py:151} INFO - page 97 succesfully scraped
[2023-08-29T02:57:46.144+0000] {logging_mixin.py:151} INFO - page 98 succesfully scraped
[2023-08-29T02:57:46.765+0000] {logging_mixin.py:151} INFO - page 99 succesfully scraped
[2023-08-29T02:57:47.557+0000] {logging_mixin.py:151} INFO - page 100 succesfully scraped
[2023-08-29T02:57:48.355+0000] {logging_mixin.py:151} INFO - page 101 succesfully scraped
[2023-08-29T02:57:49.569+0000] {logging_mixin.py:151} INFO - page 102 succesfully scraped
[2023-08-29T02:57:50.174+0000] {logging_mixin.py:151} INFO - page 103 succesfully scraped
[2023-08-29T02:57:50.964+0000] {logging_mixin.py:151} INFO - page 104 succesfully scraped
[2023-08-29T02:57:51.706+0000] {logging_mixin.py:151} INFO - page 105 succesfully scraped
[2023-08-29T02:57:53.090+0000] {logging_mixin.py:151} INFO - page 106 succesfully scraped
[2023-08-29T02:57:54.467+0000] {logging_mixin.py:151} INFO - page 107 succesfully scraped
[2023-08-29T02:57:55.120+0000] {logging_mixin.py:151} INFO - page 108 succesfully scraped
[2023-08-29T02:57:55.996+0000] {logging_mixin.py:151} INFO - page 109 succesfully scraped
[2023-08-29T02:57:57.101+0000] {logging_mixin.py:151} INFO - page 110 succesfully scraped
[2023-08-29T02:57:58.029+0000] {logging_mixin.py:151} INFO - page 111 succesfully scraped
[2023-08-29T02:57:59.100+0000] {logging_mixin.py:151} INFO - page 112 succesfully scraped
[2023-08-29T02:58:00.307+0000] {logging_mixin.py:151} INFO - page 113 succesfully scraped
[2023-08-29T02:58:01.987+0000] {logging_mixin.py:151} INFO - page 114 succesfully scraped
[2023-08-29T02:58:02.923+0000] {logging_mixin.py:151} INFO - page 115 succesfully scraped
[2023-08-29T02:58:03.957+0000] {logging_mixin.py:151} INFO - page 116 succesfully scraped
[2023-08-29T02:58:04.742+0000] {logging_mixin.py:151} INFO - page 117 succesfully scraped
[2023-08-29T02:58:05.699+0000] {logging_mixin.py:151} INFO - page 118 succesfully scraped
[2023-08-29T02:58:06.438+0000] {logging_mixin.py:151} INFO - page 119 succesfully scraped
[2023-08-29T02:58:07.319+0000] {logging_mixin.py:151} INFO - page 120 succesfully scraped
[2023-08-29T02:58:08.107+0000] {logging_mixin.py:151} INFO - page 121 succesfully scraped
[2023-08-29T02:58:08.999+0000] {logging_mixin.py:151} INFO - page 122 succesfully scraped
[2023-08-29T02:58:09.651+0000] {logging_mixin.py:151} INFO - page 123 succesfully scraped
[2023-08-29T02:58:10.157+0000] {logging_mixin.py:151} INFO - page 124 succesfully scraped
[2023-08-29T02:58:11.121+0000] {logging_mixin.py:151} INFO - page 125 succesfully scraped
[2023-08-29T02:58:12.166+0000] {logging_mixin.py:151} INFO - page 126 succesfully scraped
[2023-08-29T02:58:12.792+0000] {logging_mixin.py:151} INFO - page 127 succesfully scraped
[2023-08-29T02:58:14.168+0000] {logging_mixin.py:151} INFO - page 128 succesfully scraped
[2023-08-29T02:58:14.876+0000] {logging_mixin.py:151} INFO - page 129 succesfully scraped
[2023-08-29T02:58:16.259+0000] {logging_mixin.py:151} INFO - page 130 succesfully scraped
[2023-08-29T02:58:17.482+0000] {logging_mixin.py:151} INFO - page 131 succesfully scraped
[2023-08-29T02:58:18.051+0000] {logging_mixin.py:151} INFO - page 132 succesfully scraped
[2023-08-29T02:58:18.726+0000] {logging_mixin.py:151} INFO - page 133 succesfully scraped
[2023-08-29T02:58:19.825+0000] {logging_mixin.py:151} INFO - page 134 succesfully scraped
[2023-08-29T02:58:20.422+0000] {logging_mixin.py:151} INFO - page 135 succesfully scraped
[2023-08-29T02:58:21.209+0000] {logging_mixin.py:151} INFO - page 136 succesfully scraped
[2023-08-29T02:58:21.899+0000] {logging_mixin.py:151} INFO - page 137 succesfully scraped
[2023-08-29T02:58:23.398+0000] {logging_mixin.py:151} INFO - page 138 succesfully scraped
[2023-08-29T02:58:24.260+0000] {logging_mixin.py:151} INFO - page 139 succesfully scraped
[2023-08-29T02:58:24.998+0000] {logging_mixin.py:151} INFO - page 140 succesfully scraped
[2023-08-29T02:58:25.628+0000] {logging_mixin.py:151} INFO - page 141 succesfully scraped
[2023-08-29T02:58:26.395+0000] {logging_mixin.py:151} INFO - page 142 succesfully scraped
[2023-08-29T02:58:27.432+0000] {logging_mixin.py:151} INFO - page 143 succesfully scraped
[2023-08-29T02:58:28.387+0000] {logging_mixin.py:151} INFO - page 144 succesfully scraped
[2023-08-29T02:58:29.472+0000] {logging_mixin.py:151} INFO - page 145 succesfully scraped
[2023-08-29T02:58:30.240+0000] {logging_mixin.py:151} INFO - page 146 succesfully scraped
[2023-08-29T02:58:31.027+0000] {logging_mixin.py:151} INFO - page 147 succesfully scraped
[2023-08-29T02:58:32.002+0000] {logging_mixin.py:151} INFO - page 148 succesfully scraped
[2023-08-29T02:58:33.039+0000] {logging_mixin.py:151} INFO - page 149 succesfully scraped
[2023-08-29T02:58:33.819+0000] {logging_mixin.py:151} INFO - page 150 succesfully scraped
[2023-08-29T02:58:34.488+0000] {logging_mixin.py:151} INFO - page 151 succesfully scraped
[2023-08-29T02:58:35.032+0000] {logging_mixin.py:151} INFO - page 152 succesfully scraped
[2023-08-29T02:58:35.768+0000] {logging_mixin.py:151} INFO - page 153 succesfully scraped
[2023-08-29T02:58:36.522+0000] {logging_mixin.py:151} INFO - page 154 succesfully scraped
[2023-08-29T02:58:37.828+0000] {logging_mixin.py:151} INFO - page 155 succesfully scraped
[2023-08-29T02:58:38.540+0000] {logging_mixin.py:151} INFO - page 156 succesfully scraped
[2023-08-29T02:58:39.448+0000] {logging_mixin.py:151} INFO - page 157 succesfully scraped
[2023-08-29T02:58:40.018+0000] {logging_mixin.py:151} INFO - page 158 succesfully scraped
[2023-08-29T02:58:40.858+0000] {logging_mixin.py:151} INFO - page 159 succesfully scraped
[2023-08-29T02:58:41.641+0000] {logging_mixin.py:151} INFO - page 160 succesfully scraped
[2023-08-29T02:58:42.346+0000] {logging_mixin.py:151} INFO - page 161 succesfully scraped
[2023-08-29T02:58:42.934+0000] {logging_mixin.py:151} INFO - page 162 succesfully scraped
[2023-08-29T02:58:43.807+0000] {logging_mixin.py:151} INFO - page 163 succesfully scraped
[2023-08-29T02:58:45.020+0000] {logging_mixin.py:151} INFO - page 164 succesfully scraped
[2023-08-29T02:58:45.903+0000] {logging_mixin.py:151} INFO - page 165 succesfully scraped
[2023-08-29T02:58:46.513+0000] {logging_mixin.py:151} INFO - page 166 succesfully scraped
[2023-08-29T02:58:47.467+0000] {logging_mixin.py:151} INFO - page 167 succesfully scraped
[2023-08-29T02:58:48.128+0000] {logging_mixin.py:151} INFO - page 168 succesfully scraped
[2023-08-29T02:58:48.841+0000] {logging_mixin.py:151} INFO - page 169 succesfully scraped
[2023-08-29T02:58:49.894+0000] {logging_mixin.py:151} INFO - page 170 succesfully scraped
[2023-08-29T02:58:51.107+0000] {logging_mixin.py:151} INFO - page 171 succesfully scraped
[2023-08-29T02:58:51.901+0000] {logging_mixin.py:151} INFO - page 172 succesfully scraped
[2023-08-29T02:58:52.620+0000] {logging_mixin.py:151} INFO - page 173 succesfully scraped
[2023-08-29T02:58:53.219+0000] {logging_mixin.py:151} INFO - page 174 succesfully scraped
[2023-08-29T02:58:54.275+0000] {logging_mixin.py:151} INFO - page 175 succesfully scraped
[2023-08-29T02:58:54.907+0000] {logging_mixin.py:151} INFO - page 176 succesfully scraped
[2023-08-29T02:58:55.524+0000] {logging_mixin.py:151} INFO - page 177 succesfully scraped
[2023-08-29T02:58:56.290+0000] {logging_mixin.py:151} INFO - page 178 succesfully scraped
[2023-08-29T02:58:57.128+0000] {logging_mixin.py:151} INFO - page 179 succesfully scraped
[2023-08-29T02:58:57.932+0000] {logging_mixin.py:151} INFO - page 180 succesfully scraped
[2023-08-29T02:58:58.525+0000] {logging_mixin.py:151} INFO - page 181 succesfully scraped
[2023-08-29T02:58:59.666+0000] {logging_mixin.py:151} INFO - page 182 succesfully scraped
[2023-08-29T02:59:00.288+0000] {logging_mixin.py:151} INFO - page 183 succesfully scraped
[2023-08-29T02:59:01.065+0000] {logging_mixin.py:151} INFO - page 184 succesfully scraped
[2023-08-29T02:59:01.880+0000] {logging_mixin.py:151} INFO - page 185 succesfully scraped
[2023-08-29T02:59:02.732+0000] {logging_mixin.py:151} INFO - page 186 succesfully scraped
[2023-08-29T02:59:03.247+0000] {logging_mixin.py:151} INFO - page 187 succesfully scraped
[2023-08-29T02:59:03.931+0000] {logging_mixin.py:151} INFO - page 188 succesfully scraped
[2023-08-29T02:59:04.579+0000] {logging_mixin.py:151} INFO - page 189 succesfully scraped
[2023-08-29T02:59:06.231+0000] {logging_mixin.py:151} INFO - page 190 succesfully scraped
[2023-08-29T02:59:07.193+0000] {logging_mixin.py:151} INFO - page 191 succesfully scraped
[2023-08-29T02:59:07.809+0000] {logging_mixin.py:151} INFO - page 192 succesfully scraped
[2023-08-29T02:59:08.561+0000] {logging_mixin.py:151} INFO - page 193 succesfully scraped
[2023-08-29T02:59:09.270+0000] {logging_mixin.py:151} INFO - page 194 succesfully scraped
[2023-08-29T02:59:10.002+0000] {logging_mixin.py:151} INFO - page 195 succesfully scraped
[2023-08-29T02:59:10.675+0000] {logging_mixin.py:151} INFO - page 196 succesfully scraped
[2023-08-29T02:59:11.547+0000] {logging_mixin.py:151} INFO - page 197 succesfully scraped
[2023-08-29T02:59:12.614+0000] {logging_mixin.py:151} INFO - page 198 succesfully scraped
[2023-08-29T02:59:13.289+0000] {logging_mixin.py:151} INFO - page 199 succesfully scraped
[2023-08-29T02:59:14.191+0000] {logging_mixin.py:151} INFO - page 200 succesfully scraped
[2023-08-29T02:59:15.187+0000] {logging_mixin.py:151} INFO - page 201 succesfully scraped
[2023-08-29T02:59:15.921+0000] {logging_mixin.py:151} INFO - page 202 succesfully scraped
[2023-08-29T02:59:16.472+0000] {logging_mixin.py:151} INFO - page 203 succesfully scraped
[2023-08-29T02:59:17.174+0000] {logging_mixin.py:151} INFO - page 204 succesfully scraped
[2023-08-29T02:59:17.941+0000] {logging_mixin.py:151} INFO - page 205 succesfully scraped
[2023-08-29T02:59:18.748+0000] {logging_mixin.py:151} INFO - page 206 succesfully scraped
[2023-08-29T02:59:19.336+0000] {logging_mixin.py:151} INFO - page 207 succesfully scraped
[2023-08-29T02:59:21.066+0000] {logging_mixin.py:151} INFO - page 208 succesfully scraped
[2023-08-29T02:59:21.713+0000] {logging_mixin.py:151} INFO - page 209 succesfully scraped
[2023-08-29T02:59:22.336+0000] {logging_mixin.py:151} INFO - page 210 succesfully scraped
[2023-08-29T02:59:23.280+0000] {logging_mixin.py:151} INFO - page 211 succesfully scraped
[2023-08-29T02:59:23.945+0000] {logging_mixin.py:151} INFO - page 212 succesfully scraped
[2023-08-29T02:59:25.109+0000] {logging_mixin.py:151} INFO - page 213 succesfully scraped
[2023-08-29T02:59:26.343+0000] {logging_mixin.py:151} INFO - page 214 succesfully scraped
[2023-08-29T02:59:27.210+0000] {logging_mixin.py:151} INFO - page 215 succesfully scraped
[2023-08-29T02:59:28.496+0000] {logging_mixin.py:151} INFO - page 216 succesfully scraped
[2023-08-29T02:59:29.251+0000] {logging_mixin.py:151} INFO - page 217 succesfully scraped
[2023-08-29T02:59:30.001+0000] {logging_mixin.py:151} INFO - page 218 succesfully scraped
[2023-08-29T02:59:30.674+0000] {logging_mixin.py:151} INFO - page 219 succesfully scraped
[2023-08-29T02:59:31.323+0000] {logging_mixin.py:151} INFO - page 220 succesfully scraped
[2023-08-29T02:59:31.961+0000] {logging_mixin.py:151} INFO - page 221 succesfully scraped
[2023-08-29T02:59:33.053+0000] {logging_mixin.py:151} INFO - page 222 succesfully scraped
[2023-08-29T02:59:33.711+0000] {logging_mixin.py:151} INFO - page 223 succesfully scraped
[2023-08-29T02:59:34.317+0000] {logging_mixin.py:151} INFO - page 224 succesfully scraped
[2023-08-29T02:59:34.904+0000] {logging_mixin.py:151} INFO - page 225 succesfully scraped
[2023-08-29T02:59:35.939+0000] {logging_mixin.py:151} INFO - page 226 succesfully scraped
[2023-08-29T02:59:37.159+0000] {logging_mixin.py:151} INFO - page 227 succesfully scraped
[2023-08-29T02:59:37.815+0000] {logging_mixin.py:151} INFO - page 228 succesfully scraped
[2023-08-29T02:59:38.592+0000] {logging_mixin.py:151} INFO - page 229 succesfully scraped
[2023-08-29T02:59:39.969+0000] {logging_mixin.py:151} INFO - page 230 succesfully scraped
[2023-08-29T02:59:40.602+0000] {logging_mixin.py:151} INFO - page 231 succesfully scraped
[2023-08-29T02:59:41.238+0000] {logging_mixin.py:151} INFO - page 232 succesfully scraped
